,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
CCDC69,2.4226330260303e-14,-0.258522065709411,0.098,0.171,8.86901724499431e-10,CCDC69,down
HS3ST1,3.62667662554712e-14,-0.454274924326869,0.277,0.346,1.32769004584655e-09,HS3ST1,down
ANXA11,8.71618728822309e-14,-0.516656564652195,0.771,0.714,3.19090900434559e-09,ANXA11,down
MUC16,9.36493636446526e-14,-0.911639288538746,0.245,0.315,3.42840955366709e-09,MUC16,down
LGALS3,1.23522573550492e-13,-0.55806677660636,0.904,0.857,4.52203789510998e-09,LGALS3,down
TJP2,1.26215564266396e-13,-0.56411486834997,0.683,0.645,4.62062559222851e-09,TJP2,down
PLAC8,1.32286940608926e-13,-0.693410785844548,0.264,0.327,4.84289260875218e-09,PLAC8,down
TMC5,1.486720006569e-13,-0.561315827900601,0.265,0.335,5.44273327204845e-09,TMC5,down
S100A12,1.67653220529914e-13,-1.22887298829043,0.19,0.259,6.13761675037962e-09,S100A12,down
KRT7,2.24806908889624e-13,-0.561274159816154,0.316,0.391,8.22995612754025e-09,KRT7,down
IL36G,2.74143637806468e-13,-0.61147588152853,0.065,0.127,1.0036124436457e-08,IL36G,down
IL13RA1,3.35305934680429e-13,-0.406760834193648,0.441,0.461,1.22752149627158e-08,IL13RA1,down
MACC1,3.46223349022371e-13,-0.692162496436573,0.496,0.503,1.267489058436e-08,MACC1,down
SAA2,7.77388381567378e-13,-0.563082017843748,0.09,0.156,2.84594112608001e-08,SAA2,down
KRT4,9.17424195345572e-13,0.353064175484411,0.226,0.138,3.3585982367406e-08,KRT4,up
DAPP1,1.19873216509913e-12,-0.497792480742165,0.437,0.464,4.38843858321139e-08,DAPP1,down
CXCL10,1.56125484321236e-12,0.679963968095374,0.207,0.122,5.71559785551612e-08,CXCL10,up
C6orf132,1.84404399698193e-12,-0.534713382958948,0.533,0.53,6.75086066855116e-08,C6orf132,down
CDKN2B,2.15178124369595e-12,-0.646423498345325,0.672,0.619,7.8774559550465e-08,CDKN2B,down
LINC00551,2.21298608573795e-12,-0.447672482409707,0.102,0.167,8.10152076127806e-08,LINC00551,down
NAMPT,2.7360929500797e-12,-0.482939868741591,0.815,0.735,1.00165626809468e-07,NAMPT,down
PPDPF,3.48621996607171e-12,-0.606934446577049,0.928,0.846,1.27627026737919e-07,PPDPF,down
ATG9B,3.63176421626383e-12,-0.443803209050869,0.083,0.143,1.32955256193203e-07,ATG9B,down
ISG15,3.69852334345255e-12,-1.12129687117243,0.77,0.721,1.35399241080454e-07,ISG15,down
UBE2H,3.90409399232112e-12,-0.437826263950118,0.867,0.77,1.42924976964884e-07,UBE2H,down
ZFAND3,4.91510594482015e-12,-0.370483177682089,0.861,0.79,1.79937113533921e-07,ZFAND3,down
MPZL3,8.70241209815093e-12,-0.397262488565146,0.289,0.341,3.18586604501207e-07,MPZL3,down
PICALM,1.0433342018803e-11,-0.497202011452408,0.725,0.665,3.8195421796636e-07,PICALM,down
NTN4,1.20992723862843e-11,-0.391051484298927,0.184,0.251,4.42942262789481e-07,NTN4,down
RNASE7,1.73167852882647e-11,-0.321232653555021,0.059,0.115,6.33950192618083e-07,RNASE7,down
CLDN10,1.78766723552426e-11,-0.421663503321374,0.049,0.101,6.54447098253078e-07,CLDN10,down
SORT1,2.0729772960484e-11,-0.360178667501243,0.226,0.285,7.5889625831036e-07,SORT1,down
ATP6V0E1,2.55045045130777e-11,-0.364673968170513,0.823,0.718,9.33694405719262e-07,ATP6V0E1,down
