,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
RRM2,5.84888026201243e-37,0.95042644665164,0.409,0.086,2.14121657512013e-32,RRM2,up
CD63,7.17501146130702e-37,-0.905009145139481,0.911,0.947,2.62669994586989e-32,CD63,down
CD74,7.86212623771759e-37,-1.29174708562028,0.864,0.939,2.87824579436603e-32,CD74,down
MEIS2,1.15202418799602e-36,0.35409128438228,0.557,0.147,4.21744534983462e-32,MEIS2,up
MCM3,1.20311996360306e-36,0.722951454707242,0.681,0.333,4.40450187475443e-32,MCM3,up
CENPP,1.32573274657144e-36,0.637655744043481,0.591,0.211,4.85337501192339e-32,CENPP,up
MUC1,1.63274423844651e-36,-1.31632145864849,0.553,0.809,5.97731338252882e-32,MUC1,down
H2AFZ,1.76205574340375e-36,0.909777464157818,0.923,0.842,6.4507098710268e-32,H2AFZ,up
HS3ST4,2.86775673521087e-36,0.262661819783975,0.221,0.016,1.04985706319335e-31,HS3ST4,up
TGM2,3.06890705307838e-36,-1.13485025514824,0.081,0.533,1.12349618306146e-31,TGM2,down
IMPA2,3.73558280270858e-36,0.539460354675542,0.706,0.316,1.36755950824358e-31,IMPA2,up
SLIT2,4.99860823127204e-36,-1.29071698862834,0.162,0.61,1.82994048738638e-31,SLIT2,down
TMEM205,6.31569608568147e-36,-0.788387942393992,0.562,0.815,2.31211318000713e-31,TMEM205,down
MUC5AC,7.46669734548115e-36,-2.00336946088279,0.03,0.496,2.73348323120719e-31,MUC5AC,down
AC005410.2,8.78842124800198e-36,0.332052483999689,0.272,0.032,3.21735313468104e-31,AC005410.2,up
COL7A1,1.19438915151666e-35,0.436148730233391,0.532,0.154,4.37253924478736e-31,COL7A1,up
PAM,1.19673116463871e-35,-1.43116478470207,0.477,0.776,4.38111312062586e-31,PAM,down
RRM1,1.29595348042982e-35,0.631640032844417,0.702,0.33,4.74435609650553e-31,RRM1,up
FCGBP,1.3196446058275e-35,-2.83375763291471,0.102,0.558,4.83108693747389e-31,FCGBP,down
RBP1,1.45196266532602e-35,0.94951643801035,0.813,0.525,5.31549012149201e-31,RBP1,up
RAB27B,1.99071912088884e-35,0.774042023243231,0.672,0.301,7.28782362966195e-31,RAB27B,up
PKMYT1,2.18384082180461e-35,0.288606447384524,0.362,0.067,7.99482286454449e-31,PKMYT1,up
TOP2A,3.14469507404606e-35,0.579783313578721,0.447,0.104,1.15124141965752e-30,TOP2A,up
FANCB,5.32592342566426e-35,0.251581873221237,0.345,0.063,1.94976730690143e-30,FANCB,up
PHF19,5.37273106505859e-35,0.292453403344347,0.396,0.086,1.9669031156073e-30,PHF19,up
TRA2B,6.04697588122052e-35,0.835910184083416,0.928,0.855,2.21373740035602e-30,TRA2B,up
IGFBP2,7.71387919440154e-35,0.846869188937166,0.779,0.391,2.82397403427846e-30,IGFBP2,up
BHLHE41,8.14943597151764e-35,-0.783958496306271,0.23,0.661,2.98342701481289e-30,BHLHE41,down
SLC6A8,8.50797914637125e-35,0.652768097405336,0.609,0.245,3.11468608569505e-30,SLC6A8,up
ANLN,8.70489867282297e-35,0.400430907255631,0.468,0.118,3.18677635513376e-30,ANLN,up
MTSS1,9.45328319353235e-35,0.512335698159572,0.668,0.263,3.46075244432026e-30,MTSS1,up
FANCA,1.1158845428236e-34,0.307423848389121,0.409,0.096,4.08514172282292e-30,FANCA,up
HLA-DRB5,1.29327132607614e-34,-0.838483696235041,0.294,0.681,4.73453699763212e-30,HLA-DRB5,down
POLA1,1.45965705821305e-34,0.593478749507721,0.609,0.253,5.34365852441214e-30,POLA1,up
TMPO,2.1978183320017e-34,0.693626262052155,0.77,0.463,8.04599313162502e-30,TMPO,up
EPHX3,2.41929979498382e-34,0.484241531847559,0.591,0.216,8.85681461945626e-30,EPHX3,up
CACNA2D3,2.47323583887932e-34,0.540688018508121,0.46,0.126,9.05426908255329e-30,CACNA2D3,up
GSDMC,2.74811355555539e-34,0.401632547292233,0.426,0.101,1.00605689155327e-29,GSDMC,up
TRIM29,2.90564122599313e-34,0.752356362674048,0.843,0.541,1.06372619642382e-29,TRIM29,up
RAC1,3.09870180958094e-34,0.805408655518192,0.953,0.918,1.13440374546949e-29,RAC1,up
NTS,3.62380324018026e-34,1.33288173534973,0.238,0.025,1.32663812819759e-29,NTS,up
FADS1,3.93483619955077e-34,0.251374708776374,0.294,0.043,1.44050418429354e-29,FADS1,up
KIF2C,5.25787399980622e-34,0.296653360698914,0.328,0.056,1.92485509258906e-29,KIF2C,up
PLP2,5.63575730388599e-34,0.939257783933949,0.894,0.795,2.06319439137962e-29,PLP2,up
PREX2,6.71258899532283e-34,-0.624772135133502,0.034,0.468,2.45741170529774e-29,PREX2,down
RYR1,9.14431446710552e-34,0.474645053220806,0.387,0.085,3.34764208326266e-29,RYR1,up
CCSER1,9.40739244721946e-34,-0.740952375979215,0.196,0.646,3.44395230100257e-29,CCSER1,down
PMAIP1,1.1646433168716e-33,1.17805709307625,0.855,0.613,4.26364271873526e-29,PMAIP1,up
SPDEF,1.18147856733011e-33,-1.02162401068171,0.098,0.527,4.32527488713881e-29,SPDEF,down
FRMD6,1.18682620579839e-33,0.544633789481584,0.685,0.288,4.34485205680733e-29,FRMD6,up
