,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
MYBL2,4.48794939089928e-16,0.272351781006791,0.366,0.133,1.64299339251432e-11,MYBL2,up
TBC1D15,4.49957257747371e-16,0.291793514333516,0.668,0.414,1.64724852488735e-11,TBC1D15,up
ESRRG,4.6043986995469e-16,-0.592319555929396,0.017,0.259,1.68562431991712e-11,ESRRG,down
CCDC88A,4.61476288044818e-16,0.264309529510449,0.596,0.313,1.68941854290327e-11,CCDC88A,up
NME4,4.69911485164201e-16,-0.374660119974773,0.243,0.514,1.72029895603762e-11,NME4,down
TASOR,4.75270209716587e-16,0.319283438738586,0.728,0.509,1.73991671075145e-11,TASOR,up
SLBP,4.9915137359902e-16,0.391075188590528,0.766,0.522,1.82734326360865e-11,SLBP,up
MMP7,5.31136863095116e-16,-1.9288979040388,0.03,0.275,1.94443894210491e-11,MMP7,down
SCGB3A1,5.56109976690876e-16,-3.91215252024094,0.021,0.265,2.03586301366763e-11,SCGB3A1,down
RETREG1,5.81659856735829e-16,-0.32915290844198,0.047,0.3,2.1293985695242e-11,RETREG1,down
TMPRSS11A,6.00258777760483e-16,0.319566437253504,0.472,0.203,2.19748735950335e-11,TMPRSS11A,up
SLC7A5,6.22328497808857e-16,-0.750341190376857,0.443,0.637,2.27828239762844e-11,SLC7A5,down
SFRP1,6.25512609530821e-16,-0.528861860397925,0.072,0.333,2.28993911223138e-11,SFRP1,down
MRPL41,6.34869305138959e-16,-0.478670298607205,0.655,0.766,2.32419303918322e-11,MRPL41,down
EID1,6.60366564405093e-16,-0.516028271425487,0.719,0.803,2.41753595563061e-11,EID1,down
COL1A2,6.9290692773239e-16,-1.33828215140931,0.068,0.323,2.53666297173551e-11,COL1A2,down
ARHGAP32,7.01520259936908e-16,0.398629907039584,0.83,0.616,2.56819551960303e-11,ARHGAP32,up
PEBP1,7.02028313237051e-16,-0.512616570587378,0.872,0.887,2.57005545192952e-11,PEBP1,down
CLIC1,7.32085963493784e-16,0.419871316484646,0.957,0.9,2.68009350375439e-11,CLIC1,up
UBAP1,7.71528337641958e-16,0.374700376321279,0.796,0.595,2.82448809127344e-11,UBAP1,up
TENT5B,8.12337603612074e-16,0.349493994572116,0.643,0.352,2.97388673306344e-11,TENT5B,up
SAE1,8.20476499450054e-16,0.273340344523039,0.791,0.543,3.0036824168367e-11,SAE1,up
TPX2,9.04138316692335e-16,0.36596586975688,0.528,0.236,3.30995996357897e-11,TPX2,up
DPP4,1.00673956978667e-15,-0.354075061001101,0.026,0.271,3.68557289103203e-11,DPP4,down
CPE,1.09615794729371e-15,-0.433932219634764,0.051,0.299,4.01292462924755e-11,CPE,down
ANGPTL4,1.11481824016283e-15,0.281598765646336,0.519,0.249,4.08123809541212e-11,ANGPTL4,up
MPPED2,1.12839058743967e-15,-0.852311613649305,0.153,0.412,4.13092510155789e-11,MPPED2,down
TMEM87A,1.20697667906266e-15,0.564363447723246,0.821,0.725,4.41862092438049e-11,TMEM87A,up
