,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
NCK1,6.44693401940103e-35,0.520516436692396,0.765,0.414,2.36015807516252e-30,NCK1,up
SAMD1,6.63207990014043e-35,0.388852268993354,0.629,0.265,2.42793813064241e-30,SAMD1,up
GSK3B,6.78764051630771e-35,0.635955691361302,0.878,0.668,2.48488731661509e-30,GSK3B,up
EIF2S1,6.87505695311827e-35,0.522200593515342,0.803,0.485,2.51688959996707e-30,EIF2S1,up
GMPS,7.02164396803262e-35,0.57639090605044,0.765,0.462,2.57055364025706e-30,GMPS,up
SORD,7.24523811499376e-35,-1.35676703149114,0.634,0.799,2.65240922151807e-30,SORD,down
RPL19,7.70831008042782e-35,-0.55055805054192,0.986,0.985,2.82193523734382e-30,RPL19,down
MX1,7.95072761185709e-35,0.770035187341472,0.737,0.403,2.91068187142476e-30,MX1,up
PACSIN3,9.85763858741809e-35,0.366771291903616,0.643,0.262,3.60878291046789e-30,PACSIN3,up
NUP210,1.01615207813321e-34,0.360367698169838,0.531,0.184,3.72003114283787e-30,NUP210,up
PPIB,1.03650824617775e-34,-0.900351233873121,0.944,0.971,3.79455303843214e-30,PPIB,down
POLA2,1.03818582315816e-34,0.268342379204465,0.469,0.149,3.80069447999971e-30,POLA2,up
STK17A,1.05815348898196e-34,0.560236191345567,0.822,0.452,3.87379410781406e-30,STK17A,up
TSPAN1,1.0595746710929e-34,-0.884572827833903,0.587,0.864,3.87899691340399e-30,TSPAN1,down
SKP2,1.0639840366855e-34,0.250140811346402,0.455,0.137,3.89513915990195e-30,SKP2,up
FNDC3A,1.16217164421623e-34,-0.69525112307802,0.568,0.797,4.2545941723112e-30,FNDC3A,down
MARK2,1.23412504796137e-34,0.49194053018519,0.761,0.433,4.51800838808176e-30,MARK2,up
RPL12,1.25634054902999e-34,-0.646450677765265,0.995,0.982,4.59933711594389e-30,RPL12,down
ACAD9,1.31434872790665e-34,0.330799770714864,0.657,0.289,4.81169925799344e-30,ACAD9,up
SF3A2,1.36516947443315e-34,0.530026150885747,0.822,0.518,4.99774892895233e-30,SF3A2,up
PLEKHG6,1.36855882991358e-34,0.277905037710998,0.531,0.177,5.01015702043063e-30,PLEKHG6,up
USP1,1.46076336981161e-34,0.588628299776851,0.779,0.462,5.34770862054332e-30,USP1,up
PPP1R14B-AS1,1.55256816284122e-34,0.302778898286221,0.362,0.093,5.68379678734543e-30,PPP1R14B-AS1,up
C19orf48,1.5699547288912e-34,0.512415317337843,0.685,0.315,5.74744726699778e-30,C19orf48,up
RPL11,1.67060468714487e-34,-0.587940297484979,0.986,0.986,6.11591669916866e-30,RPL11,down
SMC6,1.86831733662145e-34,0.456436118528136,0.714,0.335,6.83972293763745e-30,SMC6,up
ARHGAP21,2.29789439716811e-34,0.718905359748394,0.784,0.5,8.41236159859272e-30,ARHGAP21,up
CERNA2,2.39766849326966e-34,-0.942405933056646,0.188,0.599,8.7776245870109e-30,CERNA2,down
HOXB-AS3,2.45345297380171e-34,-0.562788383839997,0.141,0.588,8.98184599179067e-30,HOXB-AS3,down
LIN54,2.55506359411474e-34,0.382720156267535,0.638,0.257,9.35383231169467e-30,LIN54,up
DAPP1,2.56358925647853e-34,0.342412784478757,0.512,0.165,9.38504390904223e-30,DAPP1,up
AURKA,2.72508677023639e-34,0.399483838289843,0.357,0.091,9.97627015715839e-30,AURKA,up
TTC3,3.13645776487416e-34,-0.69238257513967,0.779,0.89,1.14822582314278e-29,TTC3,down
RASSF5,3.17647573996675e-34,0.316494586396641,0.54,0.192,1.16287600364443e-29,RASSF5,up
IER3,3.23292388246302e-34,-1.68068792266604,0.765,0.892,1.18354110413089e-29,IER3,down
KIF26B,3.4111085290423e-34,-0.785109461739133,0.108,0.543,1.24877272139709e-29,KIF26B,down
NUP85,3.43224574196992e-34,0.259685397953822,0.54,0.185,1.25651084367777e-29,NUP85,up
OSTF1,3.5887835184649e-34,0.53862594523692,0.793,0.471,1.31381775827482e-29,OSTF1,up
BLZF1,3.85389773396906e-34,0.509476228546595,0.681,0.325,1.41087342142873e-29,BLZF1,up
TMEM230,4.24493082017241e-34,-0.593053278905083,0.563,0.777,1.55402672395692e-29,TMEM230,down
ESRRG,4.36622425248778e-34,-0.8627924556775,0.009,0.455,1.59843103659325e-29,ESRRG,down
SRSF2,4.49362752913929e-34,0.647957287013481,0.962,0.885,1.6450721021426e-29,SRSF2,up
FAF1,4.8739848513095e-34,0.764531745816939,0.883,0.758,1.7843171142159e-29,FAF1,up
SLC5A8,5.21828203414694e-34,-0.841050379362091,0,0.447,1.91036086988085e-29,SLC5A8,down
PRIM2,5.67344663771871e-34,0.459400171736258,0.653,0.278,2.07699207960244e-29,PRIM2,up
PKDCC,5.77206104149368e-34,-0.687780238365538,0.066,0.51,2.11309382668042e-29,PKDCC,down
KIF22,5.88077105233422e-34,0.549250066008136,0.732,0.405,2.15289147454904e-29,KIF22,up
PA2G4,6.20069659690332e-34,0.792785431304365,0.92,0.785,2.27001301716034e-29,PA2G4,up
PSAP,7.51760395542938e-34,-0.655525356099309,0.878,0.959,2.75211963204314e-29,PSAP,down
MRPS22,7.58512052640058e-34,0.479411069994739,0.704,0.374,2.77683677350999e-29,MRPS22,up
DHX36,7.58865604469782e-34,0.591629765570552,0.836,0.628,2.77813109140343e-29,DHX36,up
SH3BGRL,7.78882473584085e-34,-0.529170623253135,0.282,0.701,2.85141084754398e-29,SH3BGRL,down
ENSA,7.90850335296608e-34,0.719362615496846,0.892,0.798,2.89522399248735e-29,ENSA,up
RARRES2,8.15588979126287e-34,-0.97116675030088,0.066,0.508,2.98578969368342e-29,RARRES2,down
CDV3,8.18154442597963e-34,0.643540118288339,0.897,0.771,2.99518159890688e-29,CDV3,up
SPRR1B,9.54592240364341e-34,0.574853021160784,0.244,0.041,3.49466673274982e-29,SPRR1B,up
RRM1,1.04304063720185e-33,0.528569007164062,0.653,0.31,3.81846746873225e-29,RRM1,up
GRK6,1.06411962642284e-33,0.385466946420801,0.559,0.215,3.89563554037137e-29,GRK6,up
XRN1,1.07666683932257e-33,0.647955638320188,0.812,0.548,3.94156963207598e-29,XRN1,up
MTHFD1,1.10541620045496e-33,0.605679233696712,0.714,0.373,4.04681816824558e-29,MTHFD1,up
KCNQ1,1.27856014566932e-33,-0.589596798934621,0.216,0.612,4.68068083728082e-29,KCNQ1,down
TUBA1B,1.27856771488979e-33,1.34450454095051,0.934,0.902,4.68070854744003e-29,TUBA1B,up
ADRM1,1.28715320843623e-33,0.608806050189205,0.826,0.621,4.71213918076421e-29,ADRM1,up
BCAM,1.32101871891557e-33,-0.584720213511672,0.488,0.802,4.836117428078e-29,BCAM,down
HLTF,1.34820311662024e-33,0.635964124761111,0.7,0.374,4.93563678963504e-29,HLTF,up
NCK2,1.37700782846695e-33,0.419764036796837,0.728,0.341,5.04108795923467e-29,NCK2,up
VSIR,1.40852642678722e-33,0.452037573552477,0.563,0.222,5.15647439582532e-29,VSIR,up
EEF1AKMT4,1.6686892308333e-33,0.336576052649418,0.451,0.147,6.10890440515763e-29,EEF1AKMT4,up
DNAJC15,1.75082119333338e-33,-0.702643775321803,0.516,0.805,6.40958130667417e-29,DNAJC15,down
RAE1,1.83326390057332e-33,0.326822695107368,0.629,0.274,6.71139581360888e-29,RAE1,up
PIM1,2.15778416858781e-33,0.484709824064649,0.592,0.23,7.89943206278311e-29,PIM1,up
HIST1H2AG,2.16102242791769e-33,0.523761951540188,0.427,0.125,7.91128700636389e-29,HIST1H2AG,up
USP31,2.18755039070784e-33,0.328300787218309,0.573,0.205,8.00840322534232e-29,USP31,up
RUBCN,2.21431280169563e-33,0.329241495153291,0.521,0.188,8.10637773572755e-29,RUBCN,up
GPC1,2.27558027679342e-33,0.317503729074188,0.592,0.222,8.33067183531301e-29,GPC1,up
TMC4,2.51894782574913e-33,-0.59469691867976,0.469,0.74,9.22161609528498e-29,TMC4,down
CLDN7,2.55822344717801e-33,0.860194501507149,0.911,0.865,9.36540021777397e-29,CLDN7,up
EFCAB11,3.02048525833062e-33,0.257920928088597,0.577,0.215,1.10576944822226e-28,EFCAB11,up
SAP30,3.15792523794314e-33,0.30841014973899,0.559,0.21,1.15608485035861e-28,SAP30,up
RACK1,3.41618114732195e-33,-0.648519492702134,0.962,0.969,1.25062975622309e-28,RACK1,down
SEC14L1,3.7263708866059e-33,-0.818550677561096,0.61,0.783,1.36418711787755e-28,SEC14L1,down
PPIH,3.72656323501813e-33,0.461550162742882,0.775,0.455,1.36425753470779e-28,PPIH,up
